Address,Municipality,Sale price,merged
 Cook Farm Rd,LaFayette,10000," Cook Farm Rd, LaFayette, New York"
2101 Harkins Ln,Lysander,85000,"2101 Harkins Ln, Lysander, New York"
5867 Howell Rd,Summerhill,16140,"5867 Howell Rd, Summerhill, New York"
4 Fobes Is,Baldwinsville,703200,"4 Fobes Is, Baldwinsville, New York"
2859 Cold Springs Rd,Baldwinsville,228300,"2859 Cold Springs Rd, Baldwinsville, New York"
303 Smith Ave,Onondaga,15000,"303 Smith Ave, Onondaga, New York"
 Lanning Rd,Spafford,0," Lanning Rd, Spafford, New York"
815 Lancaster Ave,Syracuse,0,"815 Lancaster Ave, Syracuse, New York"
105 Concord Pl,Syracuse,0,"105 Concord Pl, Syracuse, New York"
746 Euclid Ave,Syracuse,0,"746 Euclid Ave, Syracuse, New York"
 Yacht Club Dr,Cicero,0," Yacht Club Dr, Cicero, New York"
843 O'Connor Rd,Scriba,0,"843 O'Connor Rd, Scriba, New York"
3700 Chapman Rd,Georgetown,60000,"3700 Chapman Rd, Georgetown, New York"
 Wright Rd,Onondaga,24000," Wright Rd, Onondaga, New York"
11954 State Route 38,Victory,20000,"11954 State Route 38, Victory, New York"
7 Tallcot Ln,Skaneateles (village),2967043,"7 Tallcot Ln, Skaneateles (village), New York"
1700 Chapin Road,Georgetown,34000,"1700 Chapin Road, Georgetown, New York"
79 Castor Rd,Albion,56900,"79 Castor Rd, Albion, New York"
 State Route 90,Ledyard,1," State Route 90, Ledyard, New York"
 Morgan Rd,Clay,1," Morgan Rd, Clay, New York"
 Steinway Dr,DeWitt,265000," Steinway Dr, DeWitt, New York"
 Old Nys Route 31,Elbridge (town),130000," Old Nys Route 31, Elbridge (town), New York"
310-12 Delaware St,Syracuse,285,"310-12 Delaware St, Syracuse, New York"
101 Wood Ave,Syracuse,66,"101 Wood Ave, Syracuse, New York"
317-19 Delaware St,Syracuse,58,"317-19 Delaware St, Syracuse, New York"
250 Leon St,Syracuse,48,"250 Leon St, Syracuse, New York"
214 Holland St Rear,Syracuse,43,"214 Holland St Rear, Syracuse, New York"
310-12 Delaware St,Syracuse,1,"310-12 Delaware St, Syracuse, New York"
1109.5 Mcbride St N,Syracuse,1,"1109.5 Mcbride St N, Syracuse, New York"
 Co Rt 17,Constantia,0," Co Rt 17, Constantia, New York"
 Harris Hill Rd,Hannibal (town),0," Harris Hill Rd, Hannibal (town), New York"
1836 Co Rt 12,Hastings,12000,"1836 Co Rt 12, Hastings, New York"
 Co Rt 45,Palermo,46000," Co Rt 45, Palermo, New York"
0 Falls Boulevard,Sullivan,0,"0 Falls Boulevard, Sullivan, New York"
205 Fifth St,Fulton,1000,"205 Fifth St, Fulton, New York"
538 Fire Lane 14,Springport,20000,"538 Fire Lane 14, Springport, New York"
1159 Lake Como Rd,Summerhill,1,"1159 Lake Como Rd, Summerhill, New York"
 Paradise Rd,Palermo,30000," Paradise Rd, Palermo, New York"
 Woodland Dr,West Monroe,1," Woodland Dr, West Monroe, New York"
228 Co Rt 26,West Monroe,0,"228 Co Rt 26, West Monroe, New York"
10185 Jordan Rd,Cato (town),1,"10185 Jordan Rd, Cato (town), New York"
3849 Hallston Dr,Clay,50000,"3849 Hallston Dr, Clay, New York"
102 Second St,Fulton,3800,"102 Second St, Fulton, New York"
 West Bay Rd,Sterling,40000," West Bay Rd, Sterling, New York"
7023 River Road,Aurelius,50200,"7023 River Road, Aurelius, New York"
1373 Berry Rd,Fabius (town),86000,"1373 Berry Rd, Fabius (town), New York"
 Kasson Road,Onondaga,25000," Kasson Road, Onondaga, New York"
 Shag Bark Ln,Schroeppel,18500," Shag Bark Ln, Schroeppel, New York"
3208 Carmellas Cir,Lysander,80000,"3208 Carmellas Cir, Lysander, New York"
3208 Carmellas Cir,Lysander,71000,"3208 Carmellas Cir, Lysander, New York"
 Jordan Rd,Cato (town),3659," Jordan Rd, Cato (town), New York"
 Beech Rd,Sennett,48000," Beech Rd, Sennett, New York"
2199 York Road (Part Of),Brookfield,0,"2199 York Road (Part Of), Brookfield, New York"
 Patterson Rd,Otisco,0," Patterson Rd, Otisco, New York"
6982 Clematis Circle,Pompey,1,"6982 Clematis Circle, Pompey, New York"
67 Jacobson Dr,Parish (town),55000,"67 Jacobson Dr, Parish (town), New York"
3351 Cannon Crest Dr,Cazenovia (town),1,"3351 Cannon Crest Dr, Cazenovia (town), New York"
 Lake Forest,Minoa,509040," Lake Forest, Minoa, New York"
4253 Oran Delphi Rd,Pompey,440000,"4253 Oran Delphi Rd, Pompey, New York"
 Co Rt 58,Mexico (town),170000," Co Rt 58, Mexico (town), New York"
5472 Us Rt 11,Sandy Creek (town),173250,"5472 Us Rt 11, Sandy Creek (town), New York"
 Spencer St,Canastota,0," Spencer St, Canastota, New York"
 West Lake Road,Cazenovia (town),55000," West Lake Road, Cazenovia (town), New York"
4474 Weller Hall Pl,Clay,474300,"4474 Weller Hall Pl, Clay, New York"
3352 Hickory Knoll Ln,Lysander,537000,"3352 Hickory Knoll Ln, Lysander, New York"
Off Base Bridge Rd,Williamstown,32900,"Off Base Bridge Rd, Williamstown, New York"
 Nichols Rd,Onondaga,1," Nichols Rd, Onondaga, New York"
 Nichols Rd,Onondaga,1," Nichols Rd, Onondaga, New York"
 Otisco Valley Road,Spafford,5580," Otisco Valley Road, Spafford, New York"
150 Rathburn Rd,Granby,1,"150 Rathburn Rd, Granby, New York"
142 Dunning Ave,Auburn,16000,"142 Dunning Ave, Auburn, New York"
1761 Center Rd,Scipio,133000,"1761 Center Rd, Scipio, New York"
3762 Kennedy Rd,Scipio,84000,"3762 Kennedy Rd, Scipio, New York"
2910 Slate Hill Rd,Marcellus (town),84000,"2910 Slate Hill Rd, Marcellus (town), New York"
13 Clairborn Ct,Minoa,24000,"13 Clairborn Ct, Minoa, New York"
 Wells Ave,North Syracuse,2562," Wells Ave, North Syracuse, New York"
136 W Stone Rd,New Haven,1,"136 W Stone Rd, New Haven, New York"
 North Rd,Owasco,1," North Rd, Owasco, New York"
 North Rd,Owasco,1," North Rd, Owasco, New York"
 Tully Farms Rd,LaFayette,150000," Tully Farms Rd, LaFayette, New York"
5854 Powder Horn Ln,Onondaga,569000,"5854 Powder Horn Ln, Onondaga, New York"
